ID,Phrase,Topic
77,William has a genuine interest in classical literature.,X is interested in Y
78,Amelia is passionate about social justice and activism.,X is interested in Y
79,Lucas is interested in exploring the field of artificial intelligence.,X is interested in Y
80,Sarah likes to stargaze at night.,At night X likes to Y
81,James enjoys reading books before bed.,At night X likes to Y
82,Emma loves to take long walks under the moonlight.,At night X likes to Y
83,David enjoys watching movies late into the night.,At night X likes to Y
84,Olivia finds solace in practicing yoga before sleeping.,At night X likes to Y
85,Michael likes to play video games during the nighttime.,At night X likes to Y
86,Sophia enjoys writing in her journal before going to sleep.,At night X likes to Y
87,Ethan likes to listen to music and unwind at night.,At night X likes to Y
88,Ava finds relaxation in taking a warm bath before bedtime.,At night X likes to Y
89,Liam loves to have deep conversations with friends late at night.,At night X likes to Y
90,Mia enjoys painting and creating artwork during nighttime.,At night X likes to Y
91,Noah finds pleasure in stargazing and identifying constellations.,At night X likes to Y
92,Harper likes to curl up with a good book and a cup of tea at night.,At night X likes to Y
93,Benjamin enjoys solving puzzles and brain teasers before bed.,At night X likes to Y
94,Isabella likes to practice meditation and mindfulness before sleeping.,At night X likes to Y
95,Alexander enjoys playing musical instruments in the quiet of the night.,At night X likes to Y
96,Charlotte likes to watch documentaries and expand her knowledge at night.,At night X likes to Y
97,William enjoys writing poetry and reflecting on his day during nighttime.,At night X likes to Y
98,Amelia finds joy in knitting or doing crafts before bedtime.,At night X likes to Y
99,Lucas likes to take pictures of the stars.,At night X likes to Y
100,Sarah's favorite animal is a dolphin.,X's favourite animal is Y
101,James adores dogs and considers them his favorite animal.,X's favourite animal is Y
102,Emma has a soft spot for elephants and considers them her favorite animal.,X's favourite animal is Y
103,David is fascinated by lions and considers them his favorite animal.,X's favourite animal is Y
104,Olivia's favorite animal is the owl.,X's favourite animal is Y
105,Michael's favorite animal is the tiger.,X's favourite animal is Y
106,Sophia has a deep affection for horses and considers them her favorite animal.,X's favourite animal is Y
107,Ethan finds pandas adorable and considers them his favorite animal.,X's favourite animal is Y
108,Ava's favorite animal is the dolphin.,X's favourite animal is Y
109,Liam is a big fan of wolves and considers them his favorite animal.,X's favourite animal is Y
110,Mia's favorite animal is the giraffe.,X's favourite animal is Y
111,Noah's favorite animal is the cheetah.,X's favourite animal is Y
112,Harper has a fondness for butterflies and considers them her favorite animal.,X's favourite animal is Y
113,Benjamin's favorite animal is the eagle.,X's favourite animal is Y
114,Isabella adores cats and considers them her favorite animal.,X's favourite animal is Y
115,Alexander's favorite animal is the shark.,X's favourite animal is Y
116,Charlotte's favorite animal is the turtle.,X's favourite animal is Y
117,William finds penguins fascinating.,X's favourite animal is Y
118,Amelia's favorite animal is the koala.,X's favourite animal is Y
119,Lucas's favorite animal is the gorilla.,X's favourite animal is Y
120,Sarah likes pizza.,X likes Y
121,James enjoys sushi.,X likes Y
122,Emma has a fondness for tacos.,X likes Y
123,David loves burgers.,X likes Y
124,Olivia savors pasta dishes.,X likes Y
125,Michael is a fan of barbecue ribs.,X likes Y
126,Sophia delights in chocolate cake.,X likes Y
127,Ethan relishes spicy curry.,X likes Y
128,Ava enjoys fresh salads.,X likes Y
129,Liam has a sweet tooth for ice cream.,X likes Y
130,Mia is a connoisseur of gourmet chocolates.,X likes Y
131,Noah indulges in French fries.,X likes Y
132,Harper finds comfort in macaroni and cheese.,X likes Y
133,Benjamin adores creamy cheesecake.,X likes Y
134,Isabella has a weakness for crispy fried chicken.,X likes Y
135,Alexander appreciates a good steak.,X likes Y
136,Charlotte relishes in the flavors of sushi rolls.,X likes Y
137,William enjoys a hearty bowl of ramen.,X likes Y
138,Amelia loves devouring fresh strawberries.,X likes Y
139,Lucas has a preference for flavorful tacos.,X likes Y
140,The firefighter works at a bakery.,X works Y
141,The teacher works at a school.,X works Y
142,The doctor works at a pet store.,X works Y
143,The chef works at a restaurant.,X works Y
144,The police officer works at a movie theater.,X works Y
145,The astronaut works at a grocery store.,X works Y
146,The architect works at a zoo.,X works Y
147,The pilot works at a hair salon.,X works Y
148,The mechanic works at a law firm.,X works Y
149,The librarian works at a theme park.,X works Y
150,The musician works at a hospital.,X works Y
151,The engineer works at a coffee shop.,X works Y
152,The scientist works at a clothing store.,X works Y
153,The lawyer works at a farm.,X works Y
154,The artist works at a bank.,X works Y
155,The photographer works at a gym.,X works Y
156,The athlete works at a museum.,X works Y
157,The writer works at a car wash.,X works Y
158,The chef works at a library.,X works Y
159,The veterinarian works at a software company.,X works Y
160,The plumber uses a stethoscope.,X uses Y
161,The chef uses a chainsaw.,X uses Y
162,The gardener uses a soldering iron.,X uses Y
163,The police officer uses a paintbrush.,X uses Y
164,The electrician uses a tennis racket.,X uses Y
165,The mechanic uses a microscope.,X uses Y
166,The teacher uses a jackhammer.,X uses Y
167,The firefighter uses a knitting needle.,X uses Y
168,The carpenter uses a calculator.,X uses Y
169,The doctor uses a wrench.,X uses Y
170,The musician uses a shovel.,X uses Y
171,The chef uses a screwdriver.,X uses Y
172,The architect uses a fishing rod.,X uses Y
173,The police officer uses a broom.,X uses Y
174,The farmer uses a saxophone.,X uses Y
175,The painter uses a hammer.,X uses Y
176,The chef uses a tape measure.,X uses Y
177,The mechanic uses a megaphone.,X uses Y
178,The doctor uses a gardening spade.,X uses Y
179,The carpenter uses a stethoscope.,X uses Y
180,The glass is made of glass.,X is made of Y
181,The brick wall is made of bricks.,X is made of Y
182,The wooden chair is made of wood.,X is made of Y
183,The steel bridge is made of steel.,X is made of Y
184,The ceramic vase is made of ceramic.,X is made of Y
185,The car is made of cotton.,X is made of Y
186,The house is made of chocolate.,X is made of Y
187,The bicycle is made of glass.,X is made of Y
188,The phone is made of wood.,X is made of Y
189,The laptop is made of cheese.,X is made of Y
190,The pencil is made of rubber.,X is made of Y
191,The lamp is made of paper.,X is made of Y
192,The table is made of feathers.,X is made of Y
193,The shoes are made of clay.,X is made of Y
194,The watch is made of ice.,X is made of Y
195,The boat is made of cardboard.,X is made of Y
196,The television is made of yarn.,X is made of Y
197,The backpack is made of bricks.,X is made of Y
198,The camera is made of spaghetti.,X is made of Y
199,The guitar is made of plastic.,X is made of Y
